stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
106,106,E Madison St & 12th Ave,East Madison Street and 12th Avenue,,47.6131248,-122.31588,1,,0,,America/Los_Angeles,1
10600,10600,Sand Point Way NE & NE 61st St,Sand Point Way Northeast and Northeast Sixty First Street,,47.6729889,-122.266663,1,,0,,America/Los_Angeles,1
10620,10620,Sand Point Way NE & NE 65th St,Sand Point Way Northeast and Northeast 65th Street,,47.6759758,-122.263428,1,,0,,America/Los_Angeles,1
10630,10630,Sand Point Way NE & NE 70th St,Sand Point Way Northeast and Northeast 70th Street,,47.6797371,-122.263519,1,,0,,America/Los_Angeles,1
10640,10640,Sand Point Way NE & NE 74th St,Sand Point Way Northeast and Northeast 74th Street,,47.6817589,-122.263565,1,,0,,America/Los_Angeles,1
10641,10641,Sand Point Way NE & NE 74th St,Sand Point Way Northeast and Northeast 74th Street,,47.6824036,-122.263573,1,,0,,America/Los_Angeles,1
10650,10650,Sand Point Way NE & NE 77th St,Sand Point Way Northeast and Northeast 77th Street,,47.6850052,-122.264465,1,,0,,America/Los_Angeles,1
10653,10653,NOAA & Building 1,NOAA and Building One,,47.6865425,-122.257362,1,,0,,America/Los_Angeles,1
10654,10654,NE NOAA Dr,Northeast NOAA Drive,,47.6861496,-122.260803,1,,0,,America/Los_Angeles,1
10657,10657,NE NOAA Dr & Guard Shack,Northeast NOAA Drive and Guard Shack,,47.6862411,-122.259926,1,,0,,America/Los_Angeles,1
10658,10658,NOAA & Building 3,NOAA and Building Three,,47.6860123,-122.255531,1,,0,,America/Los_Angeles,1
10680,10680,Sand Point Way NE & Inverness Dr NE,Sand Point Way Northeast and Inverness Drive Northeast,,47.6928253,-122.270943,1,,0,,America/Los_Angeles,1
107,107,E Madison St & 17th Ave,East Madison Street and 17th Avenue,,47.615696,-122.309723,1,,0,,America/Los_Angeles,1
1070,1070,Olive Way & Terry Ave,Olive Way and Terry Avenue,,47.6148834,-122.331894,1,,0,,America/Los_Angeles,1
10700,10700,Sand Point Way NE & Matthews Pl NE,Sand Point Way Northeast and Matthews Place Northeast,,47.6945229,-122.275177,1,,0,,America/Los_Angeles,1
10710,10710,Sand Point Way NE & NE 93rd St,Sand Point Way Northeast and Northeast 93rd Street,,47.6961441,-122.276566,1,,0,,America/Los_Angeles,1
